A,WIEN,21,FHW FACHHOCHSCHUL-STUDIENGÄNGE BETRIEBS- UND FORSCHUNGSEINRICHTUNGEN DER WIENER WIRTSCHAFT GMBH,48.2273551,16.349097917397174,Wien,WAHRINGER GURTEL 97,1180,www.fh-wien.ac.at
A,WIEN,38,FACHHOCHSCHULE DES BFI WIEN GMBH,48.219152,16.403373,Wien,WOHLMUTSTRASSE 22,1020,www.fh-vie.ac.at
A,WIEN,52,Musik und Kunst Privatuniversität der Stadt Wien GmbH,48.2048709,16.3722361,Vienna,Johannesgasse 4a,1010,www.muk.ac.at
A,WIEN,63,"FH-CAMPUS WIEN - VEREIN ZUR FORDERUNG DES FACHHOCHSCHUL-, ENTWICKLUNGS- UND FORSCHUNGSZENTRUMS IM SUDEN WIENS",48.1578457,16.3825303,Wien,FAVORITENSTRASSE 226,1100,http://www.fh-campuswien.ac.at
A,WIEN,64,MEDIZINISCHE UNIVERSITAET WIEN,48.2196994,16.3518872,Wien,SPITALGASSE 23,1090,www.meduniwien.ac.at
A,WIEN,65,DIPLOMATISCHE AKADEMIE WIEN,48.194359899999995,16.370701334407823,Wien,FAVORITENSTRASSE 15 A,1040,www.da-vienna.ac.at
A,WIEN,66,MODUL UNIVERSITY VIENNA GMBH,48.274765,16.3359783,Wien,AM KAHLENBERG 1,1190 ,www.modul.ac.at/nmt  
A,WIEN,68,SIGMUND FREUD PRIVATUNIVERSITAT WIEN GMBH,48.215145,16.40530524352173,Wien,FREUDPLATZ 1,1020,http://www.sfu.ac.at
A,WIEN,70,Lauder Business School,48.24249,16.3530204,Vienna,Hofzeile 18-20,1190,www.lbs.ac.at
A,WIEN,72,Wiener Psychoanalytische Akademie,48.2128974,16.3728934,Wien,Salzgries 16/3,1010,www.psy-akademie.at
A,WIEN,74,VMI - Vienna Music Institute - Konservatorium des Herrn Mag. Ernst Ritsch,48.194969,16.3152921,Wien,Nobilegasse 23-25,1150,www.vmi.at
A,WIEN,75,"BILDUNGSVEREIN FUR DIE FREUNDE DERWEBSTER UNIVERSITY (ST. LOUIS, USA)",48.2141267,16.3829469,Wien,PRATERSTRASSE 23,1020,www.webster.ac.at
A,WIEN,76,JAM MUSIC LAB Private University for Jazz and Popular Music,48.1849826,16.419319441193654,Wien,Guglgasse 8,1110,www.jammusiclab.com
A,WIEN,77,Friedrich Gulda School of Music Wien,48.1852739,16.4192438,Vienna,"Gasometer B, Guglgasse 8",1110,https://gulda-school-of-music.com/
A,WIEN,78,CEU GMBH,48.173373749999996,16.387846743816223,Wien,QUELLENSTRASSE 51,1100,
A,WIENER,01,FACHHOCHSCHULE WIENER NEUSTADT GMBH,NULL,NULL,Wiener Neustadt,JOHANNES GUTENBERGSTRASSE 3,2700,www.fhwn.ac.at
A,WIENER,04,Theresianische Militärakademie Fachhochschul-Bachelorstudiengang Militärische Führung,47.8098154,16.245302,Wiener Neustadt,Burgplatz 1,2700,www.milak.at
AL,DURRES,01,UNIVERSITETI ALEKSANDER MOISIU DURRES,41.315761,19.433136,Durres,L 1 RRUGA E CURRILAVE,2000,www.uamd.edu.al
AL,TIRANA,01,MESDHEU EDUCATION SHPK,NULL,NULL,Tirana,"NJESIA BASHKIAKE 7, BULEVARDI GJERGJ FISHTA 52",1023,www.umsh.edu.al
AL,TIRANA,02,UNIVERSITETI POLITEKNIK I TIRANES,41.316619599999996,19.821735398290045,Tirana,SHESHI NENE TEREZA  4,,www.upt.al
AL,TIRANA,03,UNIVERSITETI POLIS SHPK,NULL,NULL,Tirana,AUTOSTRADA TIRANE DURRES KILOMETRI 5 KASHAR,1051,www.universitetipolis.edu.al
AL,TIRANA,04,UNIVERSITETI METROPOLITAN TIRANA,41.319925600000005,19.830564776501706,Tirana,ST SOTIR KOLEA PALLATI I RI I FIRMES FERARI,1000,www.umt.edu.al
AL,VLORE,01,UNIVERSITETIT TE VLORES,NULL,NULL,Vlore,L PAVARESIA SKELE,,http://www.univlora.edu.al
B,BRUGGE,11,KATHOLIEKE HOGESCHOOL VIVES NOORD,50.8063,3.2830647,Kortrijk,DOORNIKSESTEENWEG 145,8500,www.vives.be/international
B,LALOUVI,02,EAFC Morlanwelz,50.4572098,4.243543323982291,Morlanwelz,Rue Raoul Warocqué 46,7140,www.ineps-mlz.be
B,ANTWERP,01,UNIVERSITEIT ANTWERPEN,51.22351655,4.410202533274719,Antwerpen,PRINSSTRAAT 13,2000,www.uantwerpen.be
B,ANTWERP,59,KAREL DE GROTE HOGESCHOOL KATHOLIEKE HOGESCHOOL ANTWERPEN,51.202674,4.390663259825647,Antwerpen,BRUSSELSTRAAT 45,2018,www.kdg.be 
B,ANTWERP,61,HOGERE ZEEVAARTSCHOOL,51.2410144,4.397858461210545,Antwerpen,NOORDKASTEEL OOST 6,2030,www.hzs.be
B,ANTWERP,62,ARTESIS  PLANTIJN HOGESCHOOL ANTWERPEN,51.022465049999994,4.477879836095834,Antwerpen,LANGE NIEUWSTRAAT 101,2000,www.ap.be
B,ANTWERP,63,PRINS LEOPOLD INSTITUUT VOOR TROPISCHE GENEESKUNDE,51.21243445,4.39765833312061,Antwerpen,Nationalestraat  155,2000,www.itg.be
B,ARLON,09,Haute Ecole Robert Schuman,49.915623,5.3878147,Libramont,Rue Fontaine aux Mûres 13b,6800,www.hers.be
B,BRUGGE,12,EUROPA COLLEGE STICHTING VAN OPENBAAR NUT,51.20598785,3.226103328945146,Brugge,DIJVER 11,8000,www.coleurope.eu
B,BRUSSEL,01,VRIJE UNIVERSITEIT BRUSSEL,50.822552900000005,4.395491480471453,Brussel,PLEINLAAN 2,1050,www.vub.ac.be
B,BRUSSEL,43,LUCA SCHOOL OF ARTS,50.86131885,4.366683090620352,Brussel,PALEIZENSTRAAT 70,1030,www.luca-arts.be
B,BRUSSEL,46,ERASMUSHOGESCHOOL BRUSSEL,50.8418941,4.3223547,Brussel,NIJVERHEIDSKAAI 170,1070,http://www.ehb.be
B,BRUSSEL,47,VESALIUS COLLEGE,50.822552900000005,4.395491480471453,Brussels,PLEINLAAN 2,1050,http://www.vesalius.edu
B,BRUSSEL,48,ODISEE,50.8489544,4.3564619,Brussels,WARMOESBERG 26,1000,www.odisee.be
B,BRUSSEL,50,PERFORMING ARTS RESEARCH AND TRAINING STUDIOS ASBL PARTS,50.817672599999995,4.324090853327505,Brussel,VAN VOLXEMLAAN 164,1190,www.parts.be
B,BRUSSEL,51,Faculty for Protestant Theology and Religious Studies (FPTR),50.8355726,4.404490261115215,Etterbeek,Bollandistenstraat 40,1040,www.fptr.be
B,BRUSSELS,49,VON KARMAN INSTITUTE FOR FLUID DYNAMICS,50.7551088,4.385306258049729,Sint-Genesius-Rode,"Waterloose Steenweg, 72",1640,www.vki.ac.be
B,BRUXEL,01,ECOLE ROYALE MILITAIRE - KONINKLIJKE MILITAIRE SCHOOL,50.8434144,4.3916199,Bruxelles,Avenue de la Renaissance 30,1000,www.rma.ac.be
B,BRUXEL,02,UNIVERSITE SAINT-LOUIS-BRUXELLES ASBL,50.85346425,4.361142118156852,Bruxelles,BOULEVARD DU JARDIN BOTANIQUE 43,1000,
B,BRUXEL,04,UNIVERSITE LIBRE DE BRUXELLES,50.8117216,4.3810881,Bruxelles,AVENUE FRANKLIN ROOSEVELT 50,1050,www.ulb.be
